제목,링크,내용
강동구, <b>어린이</b> 통학로 안전하게 지킨다,http://www.shinailbo.co.kr/news/articleView.html?idxno=1465724,우선음성안내 보조장치를 어린이보호구역 개소 강일초 고일초고덕유치원 명덕초 천동초에 설치해무단횡단을 방지하고 안전한 보행을 유도한다 음성안내를 통해 운전자와 보행자에게 도로 상황 및 
여수시 교통안전 캠페인, 안전속도 5030 &quot;<b>어린이</b> 안전 우리가 지켜요&quot;,http://www.sisamagazine.co.kr/news/articleView.html?idxno=404349,여수시시장 권오봉는 지난 일 미평초등학교 일대 어린이 보호구역에서 안전속도  및 속도를 줄이면 어린이가 보입니다를 주제로 교통안전 캠페인을 진행했다고 밝혔다 이날 캠페인에는 녹색어머니회를 
DB손보, <b>어린이</b> 교통안전 위한 '옐로카펫' 설치,https://news.mtn.co.kr/newscenter/news_viewer.mtn?gidx=2021092712542826585,사진  손해보험손해보험은 지난 일 초록우산어린이재단과 어린이보호구역 교통안전을 위한 옐로카펫설치 및 소외계층 지원을 위한 사랑나눔봉사협약을 체결했다고 일 밝혔다어린이 교통사고 예방을 
경기북부경찰청, <b>어린이</b> 안전을 위해 주민의견 경청,http://www.joongboo.com/news/articleView.html?idxno=363505140,경기북부경찰청과 경기도북부자치경찰위원회는 어린이보호구역 내 어린이들의 안전을 위해 도민과 함께하는 어린이보호구역 도로안전시설 개선을 시행 중이라고 일 밝혔다 경찰은 자치경찰시대에 발맞춰 주민들의 
CJ대한통운, 군포 <b>어린이</b> 등하굣길에 '노란발자국'부착,http://www.100ssd.co.kr/news/articleView.html?idxno=80975,대한통운이 경기도 군포시 어린이 보호구역 횡단보도에 노란 발자국을 설치 어린이들을 위한 안전한 등하굣길 만들기에 나섰다 대한통운이 굿네이버스와 함께 군포 지역 내 어린이집 초등학교 등 어린이 
과천시, <b>어린이보호구역</b> 사거리에 LED바닥신호등 설치,http://www.incheonilbo.com/news/articleView.html?idxno=1114013, 과천시가 최근 교통사고 없는 안전한 보행환경 조성을 위해 문원초 어린이보호구역 인근 사거리 횡단보도에 바닥형 보행신호등을 설치했다사진제공과천시 과천시는 교통사고 없는 안전한 보행환경 조성을 위해 
CJ대한통운, <b>어린이</b> 등하굣길에 ‘노란발자국’ 부착…“횡단보도 앞에선 잠시...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=119&aid=0002533167,횡단보도 건너기 전에는 잠시 멈춰요 대한통운이 경기도 군포시 어린이 보호구역 횡단보도에 노란 발자국을 설치하며 어린이들을 위한 안전한 등하굣길 만들기에 나섰다 대한통운이 굿네이버스와 함께 
DB손해보험, <b>어린이</b> 교통안전·소외계층 지원 나서,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=029&aid=0002698169,초록우산어린이재단과 협약식 진행 초등학교 여곳에 옐로카펫 설치 손해보험은 지난 일 초록우산어린이재단과 어린이보호구역 교통안전을 위한 옐로카펫 설치 및 소외계층 지원을 위한 사랑나눔봉사 협약을 
CJ대한통운, 군포지역 <b>어린이</b> 보행 안내 ‘노란발자국’ 부착,https://www.news2day.co.kr/article/20210928500119,노란 정지선과 어린이보호구역 표지판도 설치 대한통운이 굿네이버스와 함께 경기도 군포지역 어린이를 교통안전을 위한 노란발자국 부착을 실시했다고 일 밝혔다 대한통운이 굿네이버스와 함께 어린이 
영주시 교통안전지킴이 &quot;<b>어린이</b> 등하굣길 우리가 지킨다&quot;,http://www.hidomin.com/news/articleView.html?idxno=464422,한편 시는 어린이 보호구역내 교통사고 발생률이 줄이기 위해 교통안전표지판 설치 보호구역 노면 표시 무인교통 단속 장비 설치 과속 방지턱 설치 스마트 횡단보도 설치 등을 추진 중이며 경찰서 교육지원청 
